"Date","Price","Open","High","Low","Change %"
"01/08/1990","8.026","8.026","8.026","8.026","1.17%"
"12/29/1989","7.933","7.933","7.933","7.933","0.35%"
"12/28/1989","7.905","7.905","7.905","7.905","-0.42%"
"12/27/1989","7.938","7.938","7.938","7.938","-0.05%"
"12/26/1989","7.942","7.942","7.942","7.942","1.77%"
"12/22/1989","7.804","7.804","7.804","7.804","0.41%"
"12/21/1989","7.772","7.772","7.772","7.772","0.12%"
"12/20/1989","7.763","7.763","7.763","7.763","-0.18%"
"12/19/1989","7.777","7.777","7.777","7.777","0.23%"
"12/18/1989","7.759","7.759","7.759","7.759","-0.59%"
"12/15/1989","7.805","7.805","7.805","7.805","0.24%"
"12/14/1989","7.786","7.786","7.786","7.786","-0.47%"
"12/13/1989","7.823","7.823","7.823","7.823","-0.11%"
"12/12/1989","7.832","7.832","7.832","7.832","0.00%"
"12/11/1989","7.832","7.832","7.832","7.832","0.12%"
"12/08/1989","7.823","7.823","7.823","7.823","-0.65%"
"12/07/1989","7.874","7.874","7.874","7.874","0.77%"
"12/05/1989","7.814","7.814","7.814","7.814","0.00%"
"12/04/1989","7.814","7.814","7.814","7.814","0.00%"
"12/01/1989","7.814","7.814","7.814","7.814","-0.31%"
"11/30/1989","7.838","7.838","7.838","7.838","-0.46%"
"11/29/1989","7.874","7.874","7.874","7.874","0.29%"
"11/28/1989","7.851","7.851","7.851","7.851","0.00%"
"11/27/1989","7.851","7.851","7.851","7.851","0.69%"
"11/24/1989","7.797","7.797","7.797","7.797","-0.12%"
"11/22/1989","7.806","7.806","7.806","7.806","-0.52%"
"11/21/1989","7.847","7.847","7.847","7.847","-0.23%"
"11/20/1989","7.865","7.865","7.865","7.865","-0.18%"
"11/17/1989","7.879","7.879","7.879","7.879","0.81%"
"11/15/1989","7.816","7.816","7.816","7.816","-0.86%"
"11/14/1989","7.884","7.884","7.884","7.884","-0.37%"
"11/10/1989","7.913","7.913","7.913","7.913","0.05%"
"11/09/1989","7.909","7.909","7.909","7.909","0.24%"
"11/07/1989","7.890","7.890","7.890","7.890","-1.34%"
"11/06/1989","7.997","7.997","7.997","7.997","0.59%"
"11/03/1989","7.950","7.950","7.950","7.950","0.34%"
"10/31/1989","7.923","7.923","7.923","7.923","0.06%"
"10/30/1989","7.918","7.918","7.918","7.918","-0.24%"
"10/27/1989","7.937","7.937","7.937","7.937","0.65%"
"10/26/1989","7.886","7.886","7.886","7.886","0.29%"
"10/25/1989","7.863","7.863","7.863","7.863","0.06%"
"10/24/1989","7.858","7.858","7.858","7.858","-0.71%"
"10/23/1989","7.914","7.914","7.914","7.914","-0.75%"
"10/20/1989","7.974","7.974","7.974","7.974","0.35%"
"10/19/1989","7.946","7.946","7.946","7.946","-0.64%"
"10/18/1989","7.997","7.997","7.997","7.997","0.23%"
"10/17/1989","7.979","7.979","7.979","7.979","0.00%"
"10/16/1989","7.979","7.979","7.979","7.979","1.59%"
"10/13/1989","7.854","7.854","7.854","7.854","-2.19%"
"10/12/1989","8.030","8.030","8.030","8.030","-0.46%"
"10/11/1989","8.067","8.067","8.067","8.067","0.57%"
"10/10/1989","8.021","8.021","8.021","8.021","-0.05%"
"10/06/1989","8.025","8.025","8.025","8.025","-1.56%"
"10/05/1989","8.152","8.152","8.152","8.152","-0.68%"
"10/04/1989","8.208","8.208","8.208","8.208","-0.29%"
"10/03/1989","8.232","8.232","8.232","8.232","-0.69%"
"10/02/1989","8.289","8.289","8.289","8.289","-0.17%"
"09/29/1989","8.303","8.303","8.303","8.303","0.11%"
"09/28/1989","8.294","8.294","8.294","8.294","0.00%"
"09/27/1989","8.294","8.294","8.294","8.294","0.06%"
"09/26/1989","8.289","8.289","8.289","8.289","-0.46%"
"09/25/1989","8.327","8.327","8.327","8.327","1.33%"
"09/22/1989","8.218","8.218","8.218","8.218","0.12%"
