"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2006","1,285.45","1,273.48","1,286.09","1,273.48","","0.94%"
"01/05/2006","1,273.48","1,273.46","1,276.91","1,270.30","","0.00%"
"01/04/2006","1,273.46","1,268.80","1,275.37","1,267.74","","0.37%"
"01/03/2006","1,268.80","1,248.29","1,270.22","1,245.74","","1.64%"
"12/30/2005","1,248.30","1,254.40","1,254.40","1,246.60","","-0.49%"
"12/29/2005","1,254.40","1,258.20","1,260.60","1,254.20","","-0.30%"
"12/28/2005","1,258.20","1,256.50","1,261.10","1,256.50","","0.14%"
"12/27/2005","1,256.50","1,268.70","1,271.80","1,256.50","","-0.96%"
"12/23/2005","1,268.70","1,268.10","1,269.80","1,265.90","","0.05%"
"12/22/2005","1,268.10","1,262.80","1,268.20","1,262.50","","0.42%"
"12/21/2005","1,262.80","1,259.60","1,269.40","1,259.60","","0.25%"
"12/20/2005","1,259.60","1,259.90","1,263.90","1,257.20","","-0.02%"
"12/19/2005","1,259.90","1,267.30","1,270.50","1,259.30","","-0.58%"
"12/16/2005","1,267.30","1,270.90","1,275.20","1,267.30","","-0.28%"
"12/15/2005","1,270.90","1,272.70","1,275.20","1,267.70","","-0.14%"
"12/14/2005","1,272.70","1,267.40","1,275.80","1,267.10","","0.42%"
"12/13/2005","1,267.40","1,260.40","1,272.10","1,258.60","","0.56%"
"12/12/2005","1,260.40","1,259.40","1,263.90","1,255.50","","0.08%"
"12/09/2005","1,259.40","1,255.80","1,263.10","1,254.20","","0.29%"
"12/08/2005","1,255.80","1,257.40","1,263.40","1,250.90","","-0.13%"
"12/07/2005","1,257.40","1,263.70","1,264.80","1,253.00","","-0.50%"
"12/06/2005","1,263.70","1,262.10","1,272.90","1,262.10","","0.13%"
"12/05/2005","1,262.10","1,265.10","1,265.10","1,258.10","","-0.24%"
"12/02/2005","1,265.10","1,264.70","1,266.80","1,261.40","","0.03%"
"12/01/2005","1,264.70","1,249.50","1,266.20","1,249.50","","1.22%"
"11/30/2005","1,249.50","1,257.50","1,260.90","1,249.40","","-0.64%"
"11/29/2005","1,257.50","1,257.50","1,266.20","1,257.50","","0.00%"
"11/28/2005","1,257.50","1,268.20","1,268.40","1,257.20","","-0.84%"
"11/25/2005","1,268.20","1,265.60","1,268.80","1,265.50","","0.21%"
"11/23/2005","1,265.60","1,261.20","1,270.60","1,259.50","","0.35%"
"11/22/2005","1,261.20","1,254.80","1,261.90","1,251.40","","0.51%"
"11/21/2005","1,254.80","1,248.30","1,255.90","1,246.90","","0.52%"
"11/18/2005","1,248.30","1,242.80","1,249.60","1,240.70","","0.44%"
"11/17/2005","1,242.80","1,231.20","1,243.00","1,231.20","","0.94%"
"11/16/2005","1,231.20","1,229.00","1,232.20","1,227.20","","0.18%"
"11/15/2005","1,229.00","1,233.80","1,237.90","1,226.40","","-0.39%"
"11/14/2005","1,233.80","1,234.70","1,237.20","1,231.80","","-0.07%"
"11/11/2005","1,234.70","1,231.00","1,235.70","1,230.70","","0.30%"
"11/10/2005","1,231.00","1,220.70","1,232.40","1,215.00","","0.84%"
"11/09/2005","1,220.70","1,218.60","1,226.60","1,216.50","","0.17%"
"11/08/2005","1,218.60","1,222.80","1,222.80","1,216.10","","-0.34%"
"11/07/2005","1,222.80","1,220.10","1,224.20","1,217.30","","0.22%"
"11/04/2005","1,220.10","1,219.90","1,222.50","1,214.50","","0.02%"
"11/03/2005","1,219.90","1,214.80","1,224.70","1,214.80","","0.42%"
"11/02/2005","1,214.80","1,202.80","1,215.20","1,201.10","","1.00%"
"11/01/2005","1,202.80","1,207.00","1,207.30","1,201.70","","-0.35%"
"10/31/2005","1,207.00","1,198.40","1,211.40","1,198.40","","0.72%"
"10/28/2005","1,198.40","1,178.90","1,198.40","1,178.90","","1.65%"
"10/27/2005","1,178.90","1,191.40","1,192.70","1,178.90","","-1.05%"
"10/26/2005","1,191.40","1,196.50","1,204.00","1,191.40","","-0.43%"
"10/25/2005","1,196.50","1,199.40","1,201.30","1,189.30","","-0.24%"
"10/24/2005","1,199.40","1,179.60","1,199.40","1,179.60","","1.68%"
"10/21/2005","1,179.60","1,177.80","1,186.50","1,174.90","","0.15%"
"10/20/2005","1,177.80","1,195.80","1,197.30","1,173.30","","-1.51%"
"10/19/2005","1,195.80","1,178.10","1,195.80","1,170.50","","1.50%"
"10/18/2005","1,178.10","1,190.10","1,190.10","1,178.10","","-1.01%"
"10/17/2005","1,190.10","1,186.60","1,191.20","1,184.50","","0.29%"
"10/14/2005","1,186.60","1,176.80","1,187.10","1,175.40","","0.83%"
"10/13/2005","1,176.80","1,177.70","1,179.60","1,168.20","","-0.08%"
"10/12/2005","1,177.70","1,184.90","1,190.00","1,173.70","","-0.61%"
"10/11/2005","1,184.90","1,187.30","1,193.10","1,183.20","","-0.20%"
"10/10/2005","1,187.30","1,195.90","1,196.50","1,186.10","","-0.72%"
"10/07/2005","1,195.90","1,191.50","1,199.70","1,191.50","","0.37%"
"10/06/2005","1,191.50","1,196.40","1,202.10","1,181.90","","-0.41%"
"10/05/2005","1,196.40","1,214.50","1,214.50","1,196.20","","-1.49%"
"10/04/2005","1,214.50","1,226.70","1,229.90","1,214.00","","-0.99%"
"10/03/2005","1,226.70","1,228.80","1,233.30","1,225.20","","-0.17%"
"09/30/2005","1,228.80","1,227.70","1,229.60","1,225.20","","0.09%"
"09/29/2005","1,227.70","1,216.90","1,228.70","1,211.50","","0.89%"
"09/28/2005","1,216.90","1,215.70","1,221.00","1,212.70","","0.10%"
"09/27/2005","1,215.70","1,215.60","1,220.20","1,211.10","","0.01%"
"09/26/2005","1,215.60","1,215.30","1,222.60","1,211.80","","0.02%"
"09/23/2005","1,215.30","1,214.60","1,218.80","1,209.80","","0.06%"
"09/22/2005","1,214.60","1,210.20","1,216.60","1,205.30","","0.36%"
"09/21/2005","1,210.20","1,221.30","1,221.50","1,209.90","","-0.91%"
"09/20/2005","1,221.30","1,231.00","1,236.50","1,220.10","","-0.79%"
"09/19/2005","1,231.00","1,237.90","1,237.90","1,227.70","","-0.56%"
"09/16/2005","1,237.90","1,228.40","1,238.00","1,228.40","","0.83%"
"09/15/2005","1,227.70","1,227.20","1,231.90","1,224.80","","0.04%"
"09/14/2005","1,227.20","1,231.20","1,234.70","1,226.20","","-0.32%"
"09/13/2005","1,231.20","1,240.60","1,240.60","1,231.20","","-0.76%"
"09/12/2005","1,240.60","1,241.50","1,242.60","1,239.20","","-0.07%"
"09/09/2005","1,241.50","1,231.70","1,243.10","1,231.70","","0.80%"
"09/08/2005","1,231.70","1,236.40","1,236.40","1,229.50","","-0.38%"
"09/07/2005","1,236.40","1,233.40","1,237.10","1,230.90","","0.24%"
"09/06/2005","1,233.40","1,218.00","1,233.60","1,218.00","","1.26%"
"09/02/2005","1,218.00","1,221.60","1,224.50","1,217.80","","-0.29%"
"09/01/2005","1,221.60","1,220.30","1,227.30","1,216.20","","0.11%"
"08/31/2005","1,220.30","1,208.40","1,220.40","1,204.40","","0.98%"
"08/30/2005","1,208.40","1,212.30","1,212.30","1,201.10","","-0.32%"
"08/29/2005","1,212.30","1,205.10","1,214.30","1,201.50","","0.60%"
"08/26/2005","1,205.10","1,212.40","1,212.40","1,204.20","","-0.60%"
"08/25/2005","1,212.40","1,209.60","1,213.70","1,209.60","","0.23%"
"08/24/2005","1,209.60","1,217.60","1,224.20","1,209.40","","-0.66%"
"08/23/2005","1,217.60","1,221.70","1,223.00","1,214.40","","-0.34%"
"08/22/2005","1,221.70","1,219.70","1,229.00","1,216.50","","0.16%"
"08/19/2005","1,219.70","1,219.00","1,225.10","1,219.00","","0.06%"
"08/18/2005","1,219.00","1,220.20","1,222.60","1,215.90","","-0.10%"
"08/17/2005","1,220.20","1,219.30","1,225.60","1,218.10","","0.07%"
"08/16/2005","1,219.30","1,233.90","1,233.90","1,219.00","","-1.18%"
"08/15/2005","1,233.90","1,230.40","1,236.20","1,226.20","","0.28%"
"08/12/2005","1,230.40","1,237.80","1,237.80","1,225.90","","-0.60%"
